id;date;year;category;description;created_at;updated_at
78;\N;\N;;;2020-07-06 14:08:09;2020-07-06 14:08:09
79;2020-06-29;2020;Libur;Siaga Covid;2020-07-06 14:08:20;2020-07-06 14:08:20
80;2020-06-30;2020;Libur;Siaga Covid;2020-07-06 14:08:32;2020-07-06 14:08:32
81;2020-07-01;2020;Libur;Siaga Covid;2020-08-04 11:03:23;2020-08-04 11:03:23
82;2020-07-02;2020;Libur;Siaga Covid;2020-08-04 11:03:35;2020-08-04 11:03:35
83;2020-07-03;2020;Libur;Siaga Covid;2020-08-04 11:03:58;2020-08-04 11:03:58
84;2020-07-06;2020;Libur;Siaga Covid;2020-08-04 11:04:11;2020-08-04 11:04:11
85;2020-07-07;2020;Libur;Siaga Covid;2020-08-04 11:04:29;2020-08-04 11:04:29
86;2020-07-08;2020;Libur;Siaga Covid;2020-08-04 11:04:43;2020-08-04 11:04:43
87;2020-07-09;2020;Libur;Siaga Covid;2020-08-04 11:04:52;2020-08-04 11:04:52
88;\N;\N;;;2020-08-04 11:05:04;2020-08-04 11:05:04
89;2020-07-10;2020;Libur;Siaga Covid;2020-08-04 11:05:11;2020-08-04 11:05:11
90;2020-07-13;2020;Libur;Siaga Covid;2020-08-04 11:05:21;2020-08-04 11:05:21
91;2020-07-14;2020;Libur;Siaga Covid;2020-08-04 11:05:31;2020-08-04 11:05:31
92;2020-07-15;2020;Libur;Siaga Covid;2020-08-04 11:05:40;2020-08-04 11:05:40
93;\N;\N;;;2020-08-04 11:05:55;2020-08-04 11:05:55
94;2020-07-16;2020;Libur;Siaga Covid;2020-08-04 11:06:02;2020-08-04 11:06:02
95;2020-07-17;2020;Libur;Siaga Covid;2020-08-04 11:06:10;2020-08-04 11:06:10
98;2020-07-27;2020;Libur;Siaga Covid;2020-08-04 11:07:34;2020-08-04 11:07:34
99;2020-07-28;2020;Libur;Siaga Covid;2020-08-04 11:08:00;2020-08-04 11:08:00
100;2020-07-29;2020;Libur;Siaga Covid;2020-08-04 11:14:32;2020-08-04 11:14:32
101;2020-07-30;2020;Libur;Siaga Covid;2020-08-04 11:14:44;2020-08-04 11:14:44
102;\N;\N;;;2020-08-04 11:15:05;2020-08-04 11:15:05
103;2021-01-01;2021;Libur;LIBUR TAHUN BARU;2021-02-09 10:58:11;2021-02-09 10:58:11
104;2021-02-12;2021;Libur;Hari Raya Imlek;2021-02-15 08:51:34;2021-02-15 08:51:34
105;\N;\N;;;2021-03-10 13:52:05;2021-03-10 13:52:05
106;2021-03-11;2021;Libur;Hari Raya Isra Mi'raj;2021-03-30 09:57:37;2021-03-30 09:58:24
107;2021-03-14;2021;Libur;Hari Raya Nyepi;2021-03-30 09:58:41;2021-03-30 09:58:41
108;2021-04-02;2021;Libur;Hari Raya Paskah;2021-04-07 14:22:41;2021-04-07 14:22:41
109;2021-05-01;2021;Libur;Hari Buruh Internasional;2021-04-09 09:29:50;2021-04-09 09:29:50
110;2021-05-13;2021;Libur;Idul Fitri / Kenaikan Yesus Kristus;2021-04-09 09:32:33;2021-04-09 09:32:50
111;2021-05-26;2021;Libur;Hari Raya Waisak;2021-04-09 09:33:15;2021-04-09 09:33:15
112;2021-06-01;2021;Libur;Hari Lahir Pancasila;2021-04-09 09:33:38;2021-04-09 09:33:38
113;2021-07-20;2021;Libur;Idul Adha;2021-04-09 09:34:03;2021-04-09 09:34:03
115;2021-08-11;2021;Libur;Tahun Baru Hijriyah;2021-04-09 09:35:23;2021-08-11 20:03:29
116;2021-10-20;2021;Libur;Maulid Nabi Muhammad;2021-04-09 09:36:12;2021-10-19 11:51:34
117;2021-12-25;2021;Libur;Hari Natal;2021-04-09 09:37:48;2021-04-09 09:37:48
119;2021-05-12;2021;Libur;Cuti Bersama;2021-05-25 08:34:14;2021-05-25 08:34:14
120;\N;\N;;;2021-05-25 08:34:30;2021-05-25 08:34:30
121;2021-05-14;2021;Libur;Cuti Bersama;2021-05-25 08:34:56;2021-05-25 08:34:56
122;2021-05-15;2021;Libur;Cuti Bersama;2021-05-25 08:35:52;2021-05-25 08:35:52
123;2022-02-01;2022;Libur;Hari Raya Imlek;2022-03-02 10:10:37;2022-03-02 10:10:37
124;2022-02-28;2022;Libur;Hari Raya Isra Mi'raj;2022-03-11 14:00:17;2022-03-11 14:00:17
125;2022-01-01;2022;Libur;Tahun Baru Masehi;2022-03-16 10:33:37;2022-03-16 10:33:37
126;2022-03-03;2022;Libur;Hari Raya Nyepi;2022-03-16 10:34:55;2022-04-04 10:27:31
127;2022-04-15;2022;Libur;Wafat Yesus Kristus;2022-03-16 10:35:33;2022-03-16 10:35:33
128;2022-05-02;2022;Libur;Hari Raya Idul Fitri;2022-03-16 10:36:10;2022-03-16 10:36:10
129;2022-05-03;2022;Libur;Hari Raya Idul Fitri;2022-03-16 10:36:32;2022-03-16 10:36:32
130;2022-05-16;2022;Libur;Hari Raya Waisak;2022-03-16 10:36:52;2022-03-16 10:36:52
131;2022-05-26;2022;Libur;Kenaikan Isa Almasih;2022-03-16 10:37:22;2022-03-16 10:37:22
132;2022-06-01;2022;Libur;Hari Lahir Pancasila;2022-03-16 10:38:03;2022-03-16 10:38:03
133;2022-08-17;2022;Libur;Hari Kemerdekaan.;2022-03-16 10:38:31;2023-01-31 11:56:48
134;2022-04-29;2022;Libur;Cuti Bersama;2022-05-09 13:49:12;2022-05-09 13:49:12
135;2022-05-04;2022;Libur;Cuti Bersama;2022-05-09 13:50:29;2022-05-09 13:50:29
136;2022-05-05;2022;Libur;Cuti Bersama;2022-05-09 13:50:39;2022-05-09 13:50:39
137;2022-05-06;2022;Libur;Cuti Bersama;2022-05-09 13:50:53;2022-05-09 13:50:53
138;2023-01-23;2023;Libur;CUTI BERSAMA;2023-02-01 10:20:06;2023-02-01 10:20:06
139;2023-03-22;2023;Libur;Hari Raya Nyepi;2023-03-26 18:02:40;2023-03-26 18:02:40
140;2023-03-23;2023;Libur;Cuti Bersama;2023-03-26 18:02:57;2023-03-26 18:02:57
141;2023-04-07;2023;Libur;Wafat Isa Almasih;2023-04-09 08:30:43;2023-04-09 08:30:43
142;2023-04-19;2023;Libur;Cuti Bersama;2023-04-27 16:39:11;2023-04-27 16:39:11
143;2023-04-20;2023;Libur;Cuti Bersama;2023-04-27 16:39:22;2023-04-27 16:39:22
144;2023-04-21;2023;Libur;Cuti Bersama;2023-04-27 16:39:37;2023-04-27 16:39:37
145;2023-04-24;2023;Libur;Cuti Bersama;2023-04-27 16:39:47;2023-04-27 16:39:47
146;2023-04-25;2023;Libur;Cuti Bersama;2023-04-27 16:39:57;2023-04-27 16:39:57
147;2023-05-01;2023;Libur;Hari Buruh Nasional;2023-05-04 14:52:27;2023-05-04 14:52:27
148;2023-05-18;2023;Libur;Hari Kenaikan Isa Almasih;2023-05-19 14:24:34;2023-05-19 14:24:34
149;2023-06-01;2023;Libur;Hari Kesaktian Pancasila;2023-06-08 13:09:32;2023-06-08 13:09:32
150;2023-06-02;2023;Libur;Hari Waisak;2023-06-08 13:09:48;2023-06-08 13:09:48
152;2023-06-28;2023;Libur;Cuti Bersama Idul Adha;2023-07-03 09:29:55;2023-07-03 09:29:55
153;2023-06-29;2023;Libur;Cuti Bersama Idul Adha;2023-07-03 09:30:06;2023-07-03 09:30:06
154;2023-06-30;2023;Libur;Cuti Bersama Idul Adha;2023-07-03 09:30:20;2023-07-03 09:30:20
155;2023-07-19;2023;Libur;Tahun Baru Hijriah;2023-07-18 12:42:26;2023-07-18 12:42:26
156;2023-08-17;2023;Libur;HUT RI;2023-08-28 15:37:50;2023-08-28 15:37:50
157;2023-09-28;2023;Libur;Maulid Nabi;2023-10-02 10:47:31;2023-10-03 09:51:43
158;2023-12-26;2023;Libur;Natal;2023-10-02 10:47:31;2023-10-03 09:51:43
160;2023-12-25;2023;Libur;Natal;2023-10-02 10:47:31;2023-10-03 09:51:43
161;2024-01-01;2024;Libur;Tahun Baru Masehi;2024-01-11 13:57:02;2024-01-11 13:57:02
163;2024-02-08;2024;Libur;libur;2024-02-16 14:09:50;2024-02-16 14:09:50
164;2024-02-09;2024;Libur;libur;2024-02-16 14:09:58;2024-02-16 14:09:58
165;2024-02-14;2024;Libur;libur;2024-02-16 14:10:06;2024-02-16 14:10:06
166;2024-03-11;2024;Libur;Hari Suci Nyepi Tahun Baru Saka;2024-03-15 13:39:07;2024-03-15 13:39:07
167;2024-03-12;2024;Libur;Cuti bersama Hari Suci Nyepi Tahun Baru Saka;2024-03-15 13:40:32;2024-03-15 13:40:32
168;2024-03-29;2024;Libur;Kenaikan;2024-03-27 09:05:05;2024-03-27 09:05:05
169;2024-04-08;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:15:37;2024-04-17 13:15:37
170;2024-04-09;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:15:45;2024-04-17 13:15:45
171;2024-04-10;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:15:52;2024-04-17 13:15:52
172;2024-04-11;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:15:57;2024-04-17 13:15:57
173;2024-04-12;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:16:04;2024-04-17 13:16:04
174;2024-04-15;2024;Libur;Cuti Bersama Idul Fitri;2024-04-17 13:16:11;2024-04-17 13:16:11
175;2024-05-09;2024;Libur;libur;2024-05-16 15:07:14;2024-05-16 15:07:14
176;2024-05-10;2024;Libur;libur;2024-05-16 15:07:25;2024-05-16 15:07:25
177;2024-05-01;2024;Libur;hari buruh;2024-05-16 15:08:18;2024-05-16 15:08:18
178;2024-05-23;2024;Libur;waisak;2024-05-27 10:15:45;2024-05-27 10:15:45
179;2024-05-24;2024;Libur;waisak;2024-05-27 10:15:52;2024-05-27 10:15:52
180;2024-06-17;2024;Libur;libur;2024-06-24 12:33:53;2024-06-24 12:33:53
181;2024-06-18;2024;Libur;libur;2024-06-24 12:33:58;2024-06-24 12:33:58
182;2024-09-16;2024;Libur;maulid nabi;2024-09-11 15:51:58;2024-09-11 15:51:58
183;2024-11-27;2024;Libur;PILKADA;2024-11-28 09:33:32;2024-11-28 09:33:32
184;2025-01-01;2025;Libur;libur;2025-02-04 15:43:47;2025-02-04 15:43:47
185;2025-01-27;2025;Libur;libur;2025-02-04 15:43:55;2025-02-04 15:43:55
186;2025-01-28;2025;Libur;libur;2025-02-04 15:44:02;2025-02-04 15:44:02
187;2025-01-29;2025;Libur;libur;2025-02-04 15:44:09;2025-02-04 15:44:09
188;2025-03-28;2025;Libur;Cuti Bersama;2025-04-09 08:33:25;2025-04-09 08:33:25
189;2025-03-31;2025;Libur;Hari Raya Idul Fitri 1446 H;2025-04-09 08:33:52;2025-04-09 08:33:52
190;2025-04-01;2025;Libur;Cuti Bersama Idul FItri;2025-04-09 08:34:08;2025-04-09 08:34:08
191;2025-04-02;2025;Libur;Cuti Bersama Idul FItri;2025-04-09 08:34:15;2025-04-09 08:34:15
192;2025-04-03;2025;Libur;Cuti Bersama Idul FItri;2025-04-09 08:34:22;2025-04-09 08:34:22
193;2025-04-04;2025;Libur;Cuti Bersama Idul FItri;2025-04-09 08:34:28;2025-04-09 08:34:28
194;2025-04-07;2025;Libur;Cuti Bersama Idul FItri;2025-04-09 08:34:36;2025-04-09 08:34:36
195;2025-04-18;2025;Libur;Hari Paskah;2025-04-22 09:42:44;2025-04-22 09:42:44
196;2025-05-12;2025;Libur;libur;2025-05-14 15:10:46;2025-05-14 15:10:46
197;2025-05-13;2025;Libur;libur;2025-05-14 15:10:53;2025-05-14 15:10:53
198;2025-05-29;2025;Libur;Kenaikan Yesus Kristus.;2025-05-14 15:11:21;2025-06-02 09:35:47
