"id","hari","start_date","end_date","jam_masuk","jam_pulang","batas_in","batas_out","created_at","updated_at","toleransi_telat_menit","toleransi_pulang_cepat_menit","penalti_tidak_tap_in","penalti_tidak_tap_out"
"1","1",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:02:58","2026-02-06 11:04:27",NULL,NULL,"240","180"
"2","2",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:02:58","2026-02-06 11:04:27",NULL,NULL,"240","180"
"3","3",NULL,NULL,"08:00:00","16:00:00","12:00:00","13:00:00","2026-02-06 11:02:58","2026-02-06 11:04:27",NULL,NULL,"240","180"
"4","4",NULL,NULL,"08:00:00","16:30:00","12:00:00","13:00:00","2026-02-06 11:02:58","2026-02-06 11:04:27",NULL,NULL,"240","180"
"5","5",NULL,NULL,"08:00:00","16:30:00","12:00:00","13:00:00","2026-02-06 11:02:58","2026-02-06 11:04:27",NULL,NULL,"240","180"
